1152,CLOSED,NTR: "ingestion", "adsorption",SDG Ontology Framework, New term,2021-05-13 09:37:44 +0000 UTC
1150,CLOSED,Editing plastic composition terms imported from CHEBI,SDG Ontology Framework, Modify term,2021-05-13 09:35:42 +0000 UTC
1148,CLOSED,NTR: "plastic manufacturing process",SDG Ontology Framework, New term,2021-05-13 09:38:02 +0000 UTC
1147,OPEN,same term for bioreactor in OBI,duplicate, Modify term, possible domain conflict,2021-05-10 17:57:11 +0000 UTC
1144,CLOSED,NTR: "coastal anthropogenic litter",SDG Ontology Framework, New term,2021-05-10 16:37:06 +0000 UTC
1142,CLOSED,NTR: "biopolymer" and "synthetic polymer",SDG Ontology Framework, New term,2021-05-13 09:38:21 +0000 UTC
1141,OPEN,difference between shore, beach, and coast,,2021-05-11 01:47:17 +0000 UTC
1139,CLOSED,NTR: "weathering", "entanglement" and "entanglement of organisms in marine debris",SDG Ontology Framework, New term,2021-05-12 20:27:33 +0000 UTC
1137,CLOSED,NTR: "fishing", "fishing gear", "ghost fishing", "discarded fishing gear", "abandoned fishing gear" and "lost fishing gear",SDG Ontology Framework, New term,2021-05-13 09:38:58 +0000 UTC
1136,CLOSED,NTR: "fouling", "biofouling",SDG Ontology Framework, New term,2021-05-13 09:37:23 +0000 UTC
1134,CLOSED,Editing "foam" and "sea foam",SDG Ontology Framework, Modify term,2021-05-13 09:37:02 +0000 UTC
1131,CLOSED,NTR: "natural plastic" and "synthetic plastic",SDG Ontology Framework, New term,2021-05-10 16:37:38 +0000 UTC
1130,OPEN,Review FTT mappings,,2021-05-06 22:48:50 +0000 UTC
1129,OPEN,Create SSSOM files for all mappings,mapping,2021-05-12 20:00:09 +0000 UTC
1128,OPEN,github pages is incorrectly configured,,2021-05-19 17:09:06 +0000 UTC
1126,CLOSED,NTR: "biodegradation", "biodegradation of plastic",SDG Ontology Framework, New term,2021-05-13 09:36:40 +0000 UTC
1123,CLOSED,goosocean subset,,2021-05-06 11:08:24 +0000 UTC
1122,CLOSED,Editing "marine bed", "shoreline", "sea surface layer",SDG Ontology Framework, Modify term,2021-05-12 20:30:53 +0000 UTC
1120,CLOSED,NTR: "water column", "biota", "marine biota",SDG Ontology Framework, New term,2021-05-13 09:36:15 +0000 UTC
1117,CLOSED,Adding multilingual interpretations to "waste disposal process", "recycling process" and "anthropogenic litter",SDG Ontology Framework, Modify term,2021-05-13 09:35:56 +0000 UTC
1116,CLOSED,NTR: "plastic fragment", "plastic line", "plastic pellet",SDG Ontology Framework, New term,2021-05-13 09:35:35 +0000 UTC
1114,CLOSED,NTR: "marine anthropogenic litter" and "littering",SDG Ontology Framework, New term,2021-05-13 09:34:46 +0000 UTC
1112,CLOSED,Import of plastic-related terms,import,2021-05-07 16:30:05 +0000 UTC
1111,OPEN,Pattern for pipeline network terms,thoughts,2021-05-04 08:18:58 +0000 UTC
1110,OPEN,New Term Requests,,2021-05-06 17:59:39 +0000 UTC
1108,CLOSED,Adding multilingual interpretations to "primary microplastic particle" and "secondary microplastic particle",SDG Ontology Framework,2021-05-13 09:34:21 +0000 UTC
1106,CLOSED,Editing "piece of plastic" and "landfill",SDG Ontology Framework, Modify term,2021-05-13 09:34:10 +0000 UTC
1103,OPEN,further specify fluid environmental material,,2021-04-29 15:15:50 +0000 UTC
1102,OPEN,add "contaminated" pattern,,2021-04-29 14:54:26 +0000 UTC
1101,CLOSED,Use has component relation for has part arity relations,,2021-04-29 21:04:36 +0000 UTC
